Epoch 0: Loss 0.11, Reward 0.0, Avgloss 0.11, Avgreward 0.00, Epsilon 1.00, TotalStep 21
Epoch 1: Loss 0.09, Reward 0.0, Avgloss 0.10, Avgreward 0.00, Epsilon 1.00, TotalStep 44
Epoch 2: Loss 0.08, Reward 0.0, Avgloss 0.10, Avgreward 0.00, Epsilon 1.00, TotalStep 65
Epoch 3: Loss 0.06, Reward 0.0, Avgloss 0.09, Avgreward 0.00, Epsilon 1.00, TotalStep 88
Epoch 4: Loss 0.03, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 111
Epoch 5: Loss 0.08, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 132
Epoch 6: Loss 0.11, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 155
Epoch 7: Loss 0.08, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 178
Epoch 8: Loss 0.08, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 201
Epoch 9: Loss 0.08, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 224
Epoch 10: Loss 0.02, Reward 0.0, Avgloss 0.08, Avgreward 0.00, Epsilon 1.00, TotalStep 247
Epoch 11: Loss 0.06, Reward 0.0, Avgloss 0.07, Avgreward 0.00, Epsilon 0.99, TotalStep 270
Epoch 12: Loss 0.08, Reward 0.0, Avgloss 0.07, Avgreward 0.00, Epsilon 0.99, TotalStep 291
Epoch 13: Loss 0.08, Reward 0.0, Avgloss 0.07, Avgreward 0.00, Epsilon 0.99, TotalStep 314
Epoch 14: Loss 0.03, Reward 0.0, Avgloss 0.07, Avgreward 0.00, Epsilon 0.99, TotalStep 335
Epoch 15: Loss 0.03, Reward 0.0, Avgloss 0.07, Avgreward 0.00, Epsilon 0.99, TotalStep 356
Epoch 16: Loss 0.36, Reward 2.0, Avgloss 0.09, Avgreward 0.12, Epsilon 0.99, TotalStep 477
Epoch 17: Loss 0.14, Reward 0.0, Avgloss 0.09, Avgreward 0.11, Epsilon 0.99, TotalStep 500
Epoch 18: Loss 0.06, Reward 0.0, Avgloss 0.09, Avgreward 0.11, Epsilon 0.99, TotalStep 523
Epoch 19: Loss 0.14, Reward 0.0, Avgloss 0.09, Avgreward 0.10, Epsilon 0.99, TotalStep 546
Epoch 20: Loss 0.09, Reward 0.0, Avgloss 0.09, Avgreward 0.10, Epsilon 0.99, TotalStep 569
Epoch 21: Loss 0.17, Reward 0.0, Avgloss 0.09, Avgreward 0.09, Epsilon 0.99, TotalStep 592
Epoch 22: Loss 0.08, Reward 0.0, Avgloss 0.09, Avgreward 0.09, Epsilon 0.99, TotalStep 615
Epoch 23: Loss 0.06, Reward 0.0, Avgloss 0.09, Avgreward 0.08, Epsilon 0.99, TotalStep 638
Epoch 24: Loss 0.06, Reward 0.0, Avgloss 0.09, Avgreward 0.08, Epsilon 0.99, TotalStep 659
Epoch 25: Loss 0.03, Reward 0.0, Avgloss 0.09, Avgreward 0.08, Epsilon 0.99, TotalStep 682
Epoch 26: Loss 0.14, Reward 1.0, Avgloss 0.09, Avgreward 0.11, Epsilon 0.99, TotalStep 752
Epoch 27: Loss 0.07, Reward 0.0, Avgloss 0.09, Avgreward 0.11, Epsilon 0.99, TotalStep 775
Epoch 28: Loss 0.06, Reward 0.0, Avgloss 0.09, Avgreward 0.10, Epsilon 0.98, TotalStep 798
Epoch 29: Loss 0.05, Reward 0.0, Avgloss 0.09, Avgreward 0.10, Epsilon 0.98, TotalStep 819
Epoch 30: Loss 0.02, Reward 0.0, Avgloss 0.09, Avgreward 0.10, Epsilon 0.98, TotalStep 842
Epoch 31: Loss 0.00, Reward 0.0, Avgloss 0.08, Avgreward 0.09, Epsilon 0.98, TotalStep 865
Epoch 32: Loss 0.01, Reward 0.0, Avgloss 0.08, Avgreward 0.09, Epsilon 0.98, TotalStep 888
Epoch 33: Loss 0.04, Reward 0.0, Avgloss 0.08, Avgreward 0.09, Epsilon 0.98, TotalStep 911
Epoch 34: Loss 0.01, Reward 0.0, Avgloss 0.08, Avgreward 0.09, Epsilon 0.98, TotalStep 934
Epoch 35: Loss 0.01, Reward 0.0, Avgloss 0.08, Avgreward 0.08, Epsilon 0.98, TotalStep 955
Epoch 36: Loss 0.02, Reward 0.0, Avgloss 0.07, Avgreward 0.08, Epsilon 0.98, TotalStep 978
Epoch 37: Loss 0.01, Reward 0.0, Avgloss 0.07, Avgreward 0.08, Epsilon 0.98, TotalStep 1001
Epoch 38: Loss 0.11, Reward 1.0, Avgloss 0.07, Avgreward 0.10, Epsilon 0.98, TotalStep 1071
Epoch 39: Loss 0.02, Reward 0.0, Avgloss 0.07, Avgreward 0.10, Epsilon 0.98, TotalStep 1094
Epoch 40: Loss 0.03, Reward 0.0, Avgloss 0.07, Avgreward 0.10, Epsilon 0.98, TotalStep 1117
Epoch 41: Loss 0.03, Reward 0.0, Avgloss 0.07, Avgreward 0.10, Epsilon 0.98, TotalStep 1140
Epoch 42: Loss 0.01, Reward 0.0, Avgloss 0.07, Avgreward 0.09, Epsilon 0.98, TotalStep 1163
Epoch 43: Loss 0.03, Reward 0.0, Avgloss 0.07, Avgreward 0.09, Epsilon 0.98, TotalStep 1186
Epoch 44: Loss 0.02, Reward 0.0, Avgloss 0.07, Avgreward 0.09, Epsilon 0.98, TotalStep 1209
Epoch 45: Loss 0.05, Reward 1.0, Avgloss 0.07, Avgreward 0.11, Epsilon 0.98, TotalStep 1276
Epoch 46: Loss 0.10, Reward 1.0, Avgloss 0.07, Avgreward 0.13, Epsilon 0.98, TotalStep 1327
